Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-152,-0.0006,0.14,0.002
0.01,-152.5,-0.00015,0.145,0.002
0.02,-152.5,-0.00075,0.145,0.002
0.03,-152.5,-0.00015,0.14,0.002
0.04,-152,-0.00075,0.14,0.002
0.05,-152.5,-0.00015,0.14,0.002
0.06,-152,-0.0006,0.14,0.002
0.07,-152.5,0,0.14,0.002
0.08,-152.5,-0.0006,0.14,0.002
0.09,-152.5,-0.00015,0.14,0.002
0.1,-152.5,-0.0006,0.14,0.002
0.11,-152.5,-0.00015,0.14,0.0025
0.12,-152.5,-0.00075,0.14,0.002
0.13,-152.5,-0.00015,0.14,0.0025
0.14,-152.5,-0.00075,0.14,0.002
0.15,-152.5,0,0.14,0.0025
0.16,-152,-0.00075,0.14,0.002
0.17,-152.5,0,0.14,0.002
0.18,-152.5,-0.00075,0.14,0.002
0.19,-152.5,0,0.14,0.002
0.2,-152,-0.00075,0.14,0.002
0.21,-152.5,-0.00015,0.14,0.002
0.22,-152,-0.0006,0.145,0.002
0.23,-152.5,0,0.16,0.0025
0.24,-152.5,-0.00075,0.175,0.003
0.25,-152,0,0.185,0.003
0.26,-152.5,-0.0006,0.195,0.003
0.27,-152.5,-0.00015,0.2,0.003
0.28,-152.5,-0.00075,0.205,0.003
0.29,-152.5,0,0.21,0.0035
0.3,-152.5,-0.00075,0.215,0.0035
0.31,-152.5,-0.00015,0.215,0.0035
0.32,-152.5,-0.00075,0.215,0.0035
0.33,-152.5,-0.00015,0.215,0.0035
0.34,-152.5,-0.00075,0.215,0.0035
0.35,-152.5,-0.00015,0.225,0.0035
0.36,-152,-0.00075,0.23,0.0035
0.37,-152.5,0,0.24,0.004
0.38,-152.5,-0.0006,0.245,0.004
0.39,-152.5,0,0.255,0.004
0.4,-152,-0.00075,0.27,0.0045
0.41,-152,-0.00015,0.275,0.0045
0.42,-152,-0.00075,0.29,0.0045
0.43,-152.5,-0.00015,0.31,0.005
0.44,-152.5,-0.0006,0.32,0.005
0.45,-152.5,-0.00015,0.34,0.0055
0.46,-152,-0.00075,0.36,0.006
0.47,-152,-0.00015,0.385,0.0065
0.48,-152,-0.00075,0.405,0.007
0.49,-152.5,-0.00015,0.43,0.007
0.5,-152.5,-0.00075,0.455,0.0075
0.51,-152,-0.00015,0.48,0.008
0.52,-152.5,-0.00075,0.505,0.0085
0.53,-152,-0.00015,0.535,0.0085
0.54,-152.5,-0.00075,0.56,0.009
0.55,-152.5,-0.0003,0.59,0.01
0.56,-152,-0.0009,0.62,0.0105
0.57,-152,-0.0003,0.635,0.0105
0.58,-152.5,-0.0006,0.655,0.011
0.59,-152.5,-0.0003,0.67,0.011
0.6,-152,-0.0009,0.685,0.0115
0.61,-152.5,-0.0003,0.7,0.0115
0.62,-152.5,-0.0009,0.715,0.012
0.63,-152.5,-0.0003,0.73,0.012
0.64,-152.5,-0.0009,0.745,0.0125
0.65,-152.5,-0.0003,0.75,0.0125
0.66,-152.5,-0.00075,0.755,0.0125
0.67,-152.5,-0.0003,0.765,0.0125
0.68,-152,-0.0009,0.775,0.013
0.69,-152,-0.00045,0.78,0.013
0.7,-152.5,-0.0009,0.79,0.013
0.71,-152.5,-0.0003,0.805,0.0135
0.72,-152.5,-0.0009,0.81,0.0135
0.73,-152.5,-0.0003,0.83,0.0135
0.74,-152.5,-0.0009,0.84,0.014
0.75,-152.5,-0.00045,0.85,0.014
0.76,-152.5,-0.0009,0.86,0.014
0.77,-152.5,-0.00045,0.865,0.0145
0.78,-152.5,-0.00105,0.88,0.0145
0.79,-152.5,-0.0003,0.885,0.0145
0.8,-152,-0.0009,0.895,0.015
0.81,-152.5,-0.0003,0.91,0.015
0.82,-152,-0.00105,0.92,0.0155
0.83,-152.5,-0.0006,0.935,0.0155
0.84,-152,-0.0009,0.945,0.0155
0.85,-152.5,-0.00045,0.955,0.016
0.86,-152.5,-0.00105,0.965,0.016
0.87,-152.5,-0.0003,0.97,0.016
0.88,-152,-0.00105,0.98,0.016
0.89,-152.5,-0.0003,0.985,0.0165
0.9,-152,-0.00105,0.99,0.0165
0.91,-152.5,-0.0003,1,0.0165
0.92,-152.5,-0.00105,1.01,0.0165
0.93,-152.5,-0.00045,1.015,0.0165
0.94,-152,-0.0009,1.02,0.017
0.95,-152.5,-0.0003,1.025,0.017
0.96,-152.5,-0.0009,1.03,0.017
0.97,-152.5,-0.00045,1.04,0.017
0.98,-152.5,-0.0009,1.045,0.017
0.99,-152.5,-0.0003,1.05,0.0175
1,-152.5,-0.0009,1.055,0.017
1.01,-152.5,-0.00045,1.065,0.0175
1.02,-152.5,-0.00105,1.07,0.0175
1.03,-152.5,-0.00045,1.08,0.0175
1.04,-152.5,-0.00105,1.08,0.0175
1.05,-152.5,-0.00045,1.085,0.018
1.06,-152,-0.00105,1.095,0.018
1.07,-152.5,-0.0003,1.1,0.018
1.08,-152.5,-0.00105,1.105,0.018
1.09,-152,-0.00045,1.11,0.0185
1.1,-152.5,-0.00105,1.115,0.018
1.11,-152.5,-0.0003,1.12,0.0185
1.12,-152.5,-0.0009,1.125,0.0185
1.13,-152,-0.00045,1.125,0.0185
1.14,-152,-0.00105,1.135,0.0185
1.15,-152.5,-0.00045,1.14,0.0185
1.16,-152.5,-0.00105,1.145,0.019
1.17,-152.5,-0.00045,1.15,0.019
1.18,-152.5,-0.0009,1.15,0.019
1.19,-152.5,-0.0003,1.155,0.019
1.2,-152.5,-0.0009,1.16,0.019
1.21,-152.5,-0.00045,1.16,0.019
1.22,-152.5,-0.00105,1.16,0.019
1.23,-152.5,-0.00045,1.17,0.019
1.24,-152.5,-0.00105,1.175,0.0195
1.25,-152.5,-0.0003,1.18,0.019
1.26,-152,-0.00105,1.18,0.0195
1.27,-152.5,-0.0006,1.195,0.0195
1.28,-152.5,-0.00105,1.195,0.0195
1.29,-152.5,-0.00045,1.2,0.02
1.3,-152.5,-0.00105,1.205,0.02
1.31,-152.5,-0.0003,1.215,0.02
1.32,-152.5,-0.00105,1.22,0.02
1.33,-152.5,-0.00045,1.23,0.0205
1.34,-152.5,-0.00105,1.23,0.0205
