Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-57.5,0.00165,0.14,0.0025
0.01,-57.5,0.0012,0.14,0.002
0.02,-57.5,0.0015,0.14,0.002
0.03,-57.5,0.0012,0.14,0.002
0.04,-57.5,0.00165,0.14,0.002
0.05,-57.5,0.0012,0.14,0.002
0.06,-57.5,0.00165,0.14,0.002
0.07,-57.5,0.0012,0.14,0.002
0.08,-57.5,0.0018,0.14,0.002
0.09,-57.5,0.00135,0.14,0.002
0.1,-57.5,0.0018,0.145,0.002
0.11,-57.5,0.0012,0.14,0.002
0.12,-57.5,0.0018,0.14,0.002
0.13,-57.5,0.00135,0.14,0.002
0.14,-57.5,0.0018,0.14,0.002
0.15,-57.5,0.00135,0.14,0.0025
0.16,-57.5,0.00165,0.14,0.002
0.17,-57.5,0.0012,0.14,0.002
0.18,-57.5,0.00165,0.145,0.002
0.19,-57.5,0.0012,0.145,0.002
0.2,-57.5,0.00165,0.14,0.002
0.21,-57.5,0.0012,0.14,0.002
0.22,-57.5,0.00165,0.14,0.002
0.23,-57.5,0.0012,0.14,0.0025
0.24,-57.5,0.00165,0.14,0.002
0.25,-57.5,0.0012,0.14,0.002
0.26,-57.5,0.0018,0.14,0.0025
0.27,-57.5,0.0012,0.14,0.002
0.28,-58,0.00165,0.14,0.0025
0.29,-58,0.0012,0.14,0.002
0.3,-57.5,0.0018,0.14,0.002
0.31,-57.5,0.0012,0.14,0.002
0.32,-58,0.0018,0.14,0.0025
0.33,-57.5,0.0012,0.14,0.002
0.34,-57.5,0.00165,0.14,0.002
0.35,-57.5,0.0012,0.14,0.002
0.36,-57.5,0.00165,0.14,0.002
0.37,-57.5,0.0012,0.14,0.002
0.38,-57.5,0.0018,0.145,0.002
0.39,-57.5,0.0012,0.14,0.002
0.4,-57.5,0.00165,0.14,0.002
0.41,-57.5,0.00135,0.145,0.0025
0.42,-57.5,0.00165,0.145,0.002
0.43,-57.5,0.0012,0.14,0.0025
0.44,-57.5,0.0018,0.14,0.002
0.45,-57.5,0.0012,0.14,0.0025
0.46,-57.5,0.00165,0.14,0.002
0.47,-57.5,0.0012,0.14,0.002
0.48,-57.5,0.0018,0.14,0.002
0.49,-57.5,0.00105,0.14,0.002
0.5,-57.5,0.0018,0.145,0.002
0.51,-58,0.0012,0.145,0.002
0.52,-57.5,0.00195,0.16,0.0025
0.53,-57.5,0.00165,0.175,0.003
0.54,-57.5,0.0024,0.19,0.003
0.55,-57.5,0.00195,0.2,0.003
0.56,-57.5,0.0027,0.215,0.0035
0.57,-57.5,0.0024,0.23,0.0035
0.58,-57.5,0.003,0.25,0.004
0.59,-57.5,0.00285,0.27,0.004
0.6,-57.5,0.0036,0.29,0.0045
0.61,-58,0.00345,0.315,0.005
0.62,-58,0.00435,0.335,0.0055
0.63,-57.5,0.00405,0.355,0.006
0.64,-57.5,0.0048,0.375,0.006
0.65,-57.5,0.0045,0.395,0.0065
0.66,-57.5,0.00525,0.415,0.007
0.67,-57.5,0.00495,0.425,0.007
0.68,-57.5,0.00585,0.445,0.0075
0.69,-57.5,0.0054,0.46,0.0075
0.7,-57.5,0.0063,0.475,0.0075
0.71,-57.5,0.00585,0.49,0.008
0.72,-57.5,0.0066,0.5,0.0085
0.73,-57.5,0.00615,0.52,0.0085
0.74,-57.5,0.0069,0.53,0.009
0.75,-57.5,0.0066,0.545,0.009
0.76,-57.5,0.00735,0.555,0.009
0.77,-57.5,0.0069,0.575,0.0095
0.78,-57.5,0.00765,0.59,0.01
0.79,-57.5,0.0075,0.605,0.01
0.8,-58,0.00825,0.62,0.0105
0.81,-57.5,0.00765,0.63,0.0105
0.82,-57.5,0.0084,0.64,0.0105
0.83,-58,0.00795,0.645,0.0105
0.84,-57.5,0.0087,0.655,0.0105
0.85,-57.5,0.00825,0.67,0.011
0.86,-57.5,0.009,0.68,0.011
0.87,-57.5,0.0084,0.685,0.011
0.88,-57.5,0.00915,0.695,0.0115
0.89,-57.5,0.0087,0.705,0.0115
0.9,-57.5,0.00945,0.715,0.012
0.91,-57.5,0.00915,0.73,0.012
0.92,-58,0.0099,0.745,0.0125
0.93,-57.5,0.0093,0.755,0.0125
0.94,-57.5,0.01005,0.77,0.0125
0.95,-57.5,0.00975,0.775,0.013
0.96,-57.5,0.01035,0.785,0.013
0.97,-57.5,0.0099,0.8,0.013
0.98,-57.5,0.0105,0.805,0.0135
0.99,-57.5,0.0102,0.815,0.0135
1,-57.5,0.01095,0.825,0.014
1.01,-57.5,0.0105,0.84,0.014
1.02,-57.5,0.01125,0.855,0.014
1.03,-57.5,0.0108,0.865,0.0145
1.04,-57.5,0.01155,0.88,0.0145
1.05,-57.5,0.0111,0.885,0.0145
1.06,-57.5,0.012,0.895,0.015
1.07,-57.5,0.01125,0.9,0.015
1.08,-57.5,0.01215,0.91,0.015
1.09,-57.5,0.01155,0.915,0.015
1.1,-57.5,0.0123,0.93,0.0155
1.11,-57.5,0.01185,0.94,0.0155
1.12,-57.5,0.01245,0.95,0.0155
1.13,-57.5,0.01215,0.96,0.016
1.14,-57.5,0.01275,0.97,0.016
1.15,-57.5,0.0123,0.98,0.016
1.16,-58,0.01305,0.985,0.016
1.17,-57.5,0.01245,0.995,0.0165
1.18,-57.5,0.01305,1,0.0165
1.19,-57.5,0.01275,1.01,0.0165
1.2,-57.5,0.0135,1.02,0.017
1.21,-57.5,0.01305,1.03,0.017
1.22,-57.5,0.0138,1.045,0.017
1.23,-57.5,0.01335,1.05,0.017
1.24,-57.5,0.01395,1.065,0.0175
1.25,-57.5,0.01365,1.075,0.0175
1.26,-57.5,0.0144,1.08,0.018
1.27,-57.5,0.01395,1.095,0.018
1.28,-57.5,0.01455,1.1,0.018
1.29,-57.5,0.0141,1.11,0.0185
1.3,-57.5,0.01485,1.125,0.0185
1.31,-57.5,0.0144,1.13,0.0185
1.32,-57.5,0.0153,1.145,0.019
1.33,-57.5,0.0147,1.15,0.019
1.34,-57.5,0.0153,1.155,0.019
1.35,-57.5,0.01485,1.17,0.0195
1.36,-57.5,0.01545,1.18,0.0195
1.37,-57.5,0.01515,1.19,0.0195
1.38,-57.5,0.0159,1.2,0.02
1.39,-57.5,0.01545,1.205,0.02
1.4,-57.5,0.0162,1.22,0.02
1.41,-57.5,0.01575,1.23,0.02
1.42,-57.5,0.01635,1.235,0.0205
1.43,-57.5,0.0159,1.245,0.0205
1.44,-57.5,0.01665,1.255,0.0205
1.45,-57.5,0.0162,1.27,0.021
1.46,-57.5,0.01695,1.275,0.021
1.47,-57.5,0.01635,1.28,0.021
1.48,-57.5,0.0171,1.29,0.021
1.49,-57.5,0.0165,1.295,0.0215
1.5,-57.5,0.0174,1.31,0.0215
1.51,-57.5,0.0168,1.315,0.0215
1.52,-57.5,0.0174,1.325,0.022
1.53,-57.5,0.01695,1.335,0.022
1.54,-57.5,0.01785,1.345,0.0225
1.55,-57.5,0.0174,1.35,0.0225
1.56,-57.5,0.018,1.36,0.0225
1.57,-58,0.01755,1.365,0.0225
1.58,-57.5,0.0183,1.375,0.0225
1.59,-57.5,0.01785,1.385,0.023
1.6,-57.5,0.01845,1.395,0.023
1.61,-57.5,0.018,1.405,0.023
1.62,-57.5,0.01875,1.405,0.023
1.63,-58,0.018,1.41,0.023
1.64,-57.5,0.0189,1.425,0.0235
1.65,-57.5,0.0183,1.43,0.0235
1.66,-57.5,0.01905,1.44,0.024
1.67,-57.5,0.01875,1.45,0.024
1.68,-57.5,0.0192,1.455,0.024
1.69,-57.5,0.01875,1.465,0.024
1.7,-57.5,0.01965,1.475,0.0245
1.71,-57.5,0.0192,1.485,0.0245
1.72,-57.5,0.0198,1.49,0.0245
1.73,-57.5,0.01935,1.5,0.025
1.74,-57.5,0.0201,1.51,0.025
1.75,-57.5,0.01965,1.52,0.025
1.76,-57.5,0.02025,1.53,0.025
1.77,-58,0.0198,1.535,0.0255
1.78,-57.5,0.02055,1.55,0.0255
1.79,-57.5,0.0201,1.56,0.026
1.8,-57.5,0.0207,1.565,0.026
1.81,-57.5,0.02025,1.57,0.026
1.82,-57.5,0.02085,1.575,0.026
1.83,-57.5,0.02025,1.585,0.0265
1.84,-57.5,0.02115,1.59,0.0265
1.85,-57.5,0.02055,1.6,0.0265
1.86,-57.5,0.02145,1.61,0.027
1.87,-57.5,0.02115,1.62,0.027
1.88,-57.5,0.0216,1.63,0.027
1.89,-57.5,0.02115,1.635,0.027
1.9,-57.5,0.0219,1.65,0.0275
1.91,-57.5,0.0213,1.66,0.0275
1.92,-57.5,0.0222,1.67,0.0275
1.93,-57.5,0.0216,1.675,0.0275
1.94,-58,0.02235,1.685,0.028
1.95,-57.5,0.02205,1.695,0.028
1.96,-57.5,0.02265,1.71,0.028
1.97,-57,0.02205,1.715,0.0285
1.98,-57.5,0.02295,1.725,0.0285
1.99,-57.5,0.02265,1.74,0.029
2,-57.5,0.0231,1.755,0.029
2.01,-57.5,0.0228,1.765,0.029
2.02,-57.5,0.02355,1.77,0.0295
2.03,-57.5,0.0231,1.775,0.0295
2.04,-57.5,0.02385,1.785,0.0295
2.05,-57.5,0.0234,1.795,0.0295
2.06,-57.5,0.02385,1.805,0.03
2.07,-57.5,0.0234,1.81,0.03
2.08,-57.5,0.02415,1.82,0.03
2.09,-57.5,0.02385,1.83,0.0305
2.1,-57.5,0.02415,1.835,0.0305
2.11,-57.5,0.024,1.845,0.0305
2.12,-58,0.0246,1.85,0.031
2.13,-57.5,0.02415,1.86,0.0305
2.14,-57.5,0.02475,1.865,0.031
2.15,-57.5,0.0243,1.87,0.031
2.16,-57.5,0.02505,1.875,0.031
2.17,-57.5,0.0243,1.88,0.031
2.18,-57.5,0.0252,1.895,0.0315
2.19,-57.5,0.0246,1.9,0.0315
2.2,-58,0.0252,1.91,0.0315
2.21,-57.5,0.0249,1.915,0.032
2.22,-58,0.0255,1.925,0.032
2.23,-57.5,0.02505,1.93,0.032
2.24,-57.5,0.02565,1.935,0.032
2.25,-57.5,0.02535,1.945,0.032
2.26,-57.5,0.02595,1.955,0.032
2.27,-57.5,0.0255,1.96,0.0325
2.28,-58,0.0261,1.97,0.0325
2.29,-57.5,0.0258,1.975,0.0325
2.3,-57.5,0.02625,1.98,0.033
2.31,-57.5,0.02595,2,0.033
2.32,-57.5,0.02655,2.005,0.033
2.33,-57.5,0.02625,2.005,0.033
2.34,-57.5,0.0267,2.005,0.033
2.35,-57.5,0.0261,2.005,0.033
2.36,-57.5,0.0267,2.005,0.033
2.37,-57.5,0.02595,2,0.033
2.38,-57.5,0.02655,2.005,0.033
2.39,-57.5,0.0261,2.005,0.033
2.4,-57.5,0.0267,2.005,0.033
2.41,-57.5,0.0261,2.005,0.033
2.42,-57.5,0.0267,2.005,0.033
2.43,-57.5,0.02625,2.005,0.033
2.44,-57.5,0.0267,2.005,0.033
2.45,-57.5,0.0261,2.005,0.033
2.46,-57.5,0.0267,2.005,0.033
2.47,-57.5,0.0261,2.005,0.033
2.48,-57.5,0.0267,2.005,0.033
2.49,-57.5,0.0261,2.005,0.033
2.5,-57.5,0.02655,2.005,0.033
2.51,-57.5,0.0261,2.005,0.033
2.52,-57.5,0.0267,2.005,0.033
2.53,-57.5,0.0261,2.005,0.033
