Time t / s,Magn. flux density B_A1 / mT,Voltage U_B2 / V,Voltage U_B1 / V,Current I_A1 / A
0,-71.5,0.00765,0.15,0.002235
0.002,-71.5,0.00765,0.15,0.00225
0.004,-71.5,0.0075,0.15,0.002295
0.006,-71.5,0.0075,0.15,0.002325
0.008,-71.5,0.00765,0.15,0.002355
0.01,-72,0.0078,0.1515,0.002235
0.012,-72,0.00795,0.1515,0.00231
0.014,-71.5,0.00795,0.1515,0.00231
0.016,-71.5,0.0081,0.15,0.002325
0.018,-71.5,0.0078,0.15,0.0024
0.02,-71.5,0.0078,0.15,0.00225
0.022,-71.5,0.00765,0.15,0.002265
0.024,-71.5,0.0075,0.15,0.00228
0.026,-71.5,0.0075,0.15,0.00234
0.028,-71.5,0.0078,0.15,0.002355
0.03,-71.5,0.00795,0.15,0.002205
0.032,-71.5,0.0081,0.1515,0.00231
0.034,-71.5,0.0081,0.1515,0.00228
0.036,-71.5,0.0081,0.15,0.00234
0.038,-71.5,0.0078,0.15,0.00237
0.04,-71.5,0.00765,0.15,0.00222
0.042,-71.5,0.00765,0.15,0.00228
0.044,-71.5,0.0075,0.15,0.002295
0.046,-71.5,0.0075,0.15,0.00234
0.048,-71.5,0.0078,0.15,0.00234
0.05,-71.5,0.00795,0.15,0.002205
0.052,-71.5,0.0081,0.15,0.00225
0.054,-71.5,0.0081,0.15,0.002295
0.056,-71.5,0.00795,0.1515,0.00231
0.058,-71.5,0.0078,0.15,0.002385
0.06,-71.5,0.00765,0.15,0.002205
0.062,-71.5,0.0075,0.15,0.002295
0.064,-71.5,0.0075,0.15,0.00228
0.066,-71.5,0.00765,0.15,0.002325
0.068,-71.5,0.0078,0.15,0.002355
0.07,-71.5,0.00795,0.15,0.002235
0.072,-71.5,0.0081,0.1515,0.002295
0.074,-71.5,0.0081,0.15,0.002265
0.076,-71.5,0.0081,0.15,0.00234
0.078,-71.5,0.0078,0.15,0.002355
0.08,-71.5,0.00765,0.15,0.002235
0.082,-72,0.0075,0.15,0.00231
0.084,-71.5,0.0075,0.15,0.002325
0.086,-71.5,0.0075,0.15,0.002235
0.088,-71.5,0.00765,0.15,0.002355
0.09,-72,0.00795,0.15,0.00222
0.092,-71.5,0.00795,0.15,0.00228
0.094,-71.5,0.0081,0.1515,0.00228
0.096,-71.5,0.00795,0.15,0.00234
0.098,-71.5,0.0078,0.1515,0.002325
0.1,-71.5,0.00765,0.15,0.002235
0.102,-72,0.00765,0.15,0.00231
0.104,-71.5,0.0075,0.15,0.00228
0.106,-71.5,0.00765,0.15,0.00234
0.108,-71.5,0.00765,0.15,0.00234
0.11,-71.5,0.00795,0.15,0.002205
0.112,-71.5,0.0081,0.15,0.002295
0.114,-71.5,0.0081,0.1515,0.00231
0.116,-71.5,0.00795,0.1515,0.00234
0.118,-71.5,0.0078,0.15,0.00237
0.12,-71.5,0.00765,0.15,0.002235
0.122,-71.5,0.00765,0.15,0.00228
0.124,-71.5,0.0075,0.15,0.002265
0.126,-71.5,0.00765,0.15,0.00234
0.128,-71.5,0.00765,0.15,0.002355
0.13,-71.5,0.00795,0.15,0.002235
0.132,-71.5,0.00795,0.1515,0.00231
0.134,-71.5,0.0081,0.1515,0.00231
0.136,-71.5,0.0081,0.1515,0.002355
0.138,-71.5,0.00795,0.15,0.002355
0.14,-71.5,0.0078,0.15,0.002235
0.142,-71.5,0.0075,0.15,0.002295
0.144,-71.5,0.0075,0.15,0.002265
0.146,-71.5,0.0075,0.15,0.002355
0.148,-71.5,0.0078,0.15,0.002355
0.15,-71.5,0.00795,0.1515,0.002205
0.152,-71.5,0.0081,0.15,0.002295
0.154,-71.5,0.0081,0.1515,0.002325
0.156,-71.5,0.0081,0.15,0.00234
0.158,-71.5,0.00795,0.15,0.002355
0.16,-71.5,0.00765,0.15,0.00219
0.162,-71.5,0.00765,0.15,0.002295
0.164,-71.5,0.0075,0.15,0.002295
0.166,-71.5,0.00765,0.15,0.002325
0.168,-71.5,0.0078,0.15,0.002355
0.17,-72,0.00795,0.1515,0.002205
0.172,-71.5,0.0081,0.1515,0.002295
0.174,-71.5,0.0081,0.15,0.00231
0.176,-71.5,0.00795,0.1515,0.002355
0.178,-71.5,0.0078,0.15,0.002325
0.18,-71.5,0.00765,0.15,0.00222
0.182,-71.5,0.00765,0.15,0.00228
0.184,-71.5,0.0075,0.15,0.00228
0.186,-71.5,0.00765,0.15,0.002325
0.188,-71.5,0.00765,0.15,0.00234
0.19,-71.5,0.00795,0.1515,0.002205
0.192,-71.5,0.0081,0.15,0.002295
0.194,-71.5,0.0081,0.15,0.002325
0.196,-71.5,0.0081,0.1515,0.002355
0.198,-71.5,0.0078,0.15,0.002325
0.2,-71.5,0.00765,0.15,0.002235
0.202,-71.5,0.00765,0.15,0.00228
0.204,-71.5,0.0075,0.15,0.00228
0.206,-71.5,0.0075,0.1515,0.002325
0.208,-71.5,0.00765,0.15,0.00234
0.21,-71.5,0.0078,0.1515,0.00222
0.212,-71.5,0.00795,0.1515,0.00228
0.214,-72,0.00795,0.1515,0.00228
0.216,-71.5,0.00795,0.15,0.002355
0.218,-72,0.00795,0.15,0.002325
0.22,-71.5,0.00765,0.15,0.00219
0.222,-71.5,0.00765,0.15,0.002325
0.224,-71.5,0.0075,0.15,0.00228
0.226,-71.5,0.00765,0.15,0.002355
0.228,-71.5,0.00765,0.15,0.00234
0.23,-71.5,0.00795,0.15,0.002235
0.232,-72,0.00795,0.1515,0.002325
0.234,-71.5,0.0081,0.1515,0.00231
0.236,-72,0.00795,0.15,0.00234
0.238,-71.5,0.0078,0.1515,0.00234
0.24,-71.5,0.00765,0.15,0.002235
0.242,-71.5,0.0075,0.15,0.002295
0.244,-71.5,0.0075,0.15,0.002265
0.246,-71.5,0.0075,0.15,0.002355
0.248,-71.5,0.0078,0.15,0.002355
0.25,-72,0.0078,0.15,0.002205
0.252,-72,0.0081,0.1515,0.00231
0.254,-71.5,0.0081,0.1515,0.00228
0.256,-71.5,0.00795,0.1515,0.00234
0.258,-71.5,0.0078,0.15,0.00237
0.26,-71.5,0.00765,0.15,0.00219
0.262,-71.5,0.00765,0.15,0.00231
0.264,-71.5,0.0075,0.15,0.002295
0.266,-71.5,0.0078,0.15,0.00231
0.268,-71.5,0.0078,0.15,0.00237
0.27,-71.5,0.00795,0.15,0.002205
0.272,-71.5,0.00795,0.1515,0.002295
0.274,-72,0.0081,0.1515,0.002145
0.276,-71.5,0.00795,0.1515,0.002355
0.278,-71.5,0.00795,0.15,0.00237
0.28,-71.5,0.00765,0.15,0.00219
0.282,-71.5,0.00765,0.15,0.00228
0.284,-71.5,0.0075,0.15,0.002295
0.286,-71.5,0.0075,0.15,0.00234
0.288,-71.5,0.0078,0.15,0.00237
0.29,-71.5,0.00795,0.1515,0.00222
0.292,-71.5,0.0081,0.15,0.002265
0.294,-71.5,0.0081,0.15,0.00228
0.296,-71.5,0.00795,0.1515,0.002325
0.298,-71.5,0.00795,0.1515,0.002295
0.3,-71.5,0.00765,0.15,0.00222
0.302,-71.5,0.0075,0.15,0.002295
0.304,-71.5,0.0075,0.15,0.002295
0.306,-71.5,0.00765,0.15,0.00231
0.308,-71.5,0.00765,0.15,0.00234
0.31,-72,0.00795,0.1515,0.002205
0.312,-71.5,0.0081,0.1515,0.002295
0.314,-71.5,0.0081,0.1515,0.002295
0.316,-72,0.00795,0.1515,0.002385
0.318,-71.5,0.0078,0.15,0.002355
0.32,-71.5,0.00765,0.15,0.00219
0.322,-71.5,0.00765,0.15,0.00228
0.324,-71.5,0.0075,0.15,0.002265
0.326,-71.5,0.0075,0.15,0.00234
0.328,-71.5,0.0078,0.15,0.002355
0.33,-71.5,0.00795,0.1515,0.002235
0.332,-71.5,0.00795,0.15,0.00231
0.334,-71.5,0.0081,0.1515,0.00231
0.336,-71.5,0.00795,0.15,0.00234
0.338,-71.5,0.0078,0.15,0.00237
0.34,-71.5,0.00765,0.15,0.002205
0.342,-71.5,0.00765,0.15,0.00228
0.344,-71.5,0.0075,0.15,0.002295
0.346,-71.5,0.00765,0.15,0.002325
0.348,-71.5,0.00765,0.15,0.002355
0.35,-71.5,0.0078,0.1515,0.002205
0.352,-71.5,0.00795,0.1515,0.002295
0.354,-71.5,0.0081,0.1515,0.002325
0.356,-72,0.00795,0.15,0.002385
0.358,-71.5,0.0078,0.15,0.00237
0.36,-71.5,0.00765,0.15,0.00219
0.362,-71.5,0.0075,0.15,0.00225
0.364,-71.5,0.0075,0.15,0.00228
0.366,-71.5,0.0075,0.15,0.00237
0.368,-71.5,0.0078,0.15,0.00234
0.37,-71.5,0.00795,0.15,0.002235
0.372,-71.5,0.00795,0.1515,0.002295
0.374,-72,0.0081,0.1515,0.002265
0.376,-71.5,0.00795,0.1515,0.002415
0.378,-71.5,0.0078,0.1515,0.002355
0.38,-72,0.00765,0.1515,0.002235
0.382,-71.5,0.00765,0.15,0.00228
0.384,-71.5,0.00765,0.153,0.002325
0.386,-71.5,0.0078,0.156,0.002415
0.388,-71.5,0.0081,0.1575,0.002415
0.39,-71.5,0.0087,0.1635,0.00237
0.392,-72,0.00915,0.168,0.002565
0.394,-71.5,0.00915,0.1695,0.00255
0.396,-71.5,0.0093,0.174,0.0027
0.398,-71.5,0.009,0.174,0.0027
0.4,-71.5,0.00915,0.177,0.00261
0.402,-71.5,0.00915,0.1785,0.002685
0.404,-71.5,0.00915,0.183,0.002775
0.406,-71.5,0.00945,0.1845,0.00285
0.408,-71.5,0.00975,0.189,0.00291
0.41,-71.5,0.0102,0.192,0.00282
0.412,-71.5,0.01035,0.1935,0.002955
0.414,-71.5,0.0105,0.195,0.00297
0.416,-71.5,0.0105,0.1965,0.00309
0.418,-71.5,0.0105,0.1995,0.003105
0.42,-71.5,0.0105,0.2025,0.002985
0.422,-71.5,0.0105,0.2055,0.003135
0.424,-71.5,0.0105,0.2055,0.003135
0.426,-71.5,0.01095,0.2115,0.0033
0.428,-71.5,0.0111,0.2145,0.0033
0.43,-71.5,0.01155,0.216,0.00321
0.432,-72,0.01185,0.219,0.00336
0.434,-71.5,0.01185,0.2205,0.003375
0.436,-71.5,0.01185,0.222,0.00345
0.438,-72,0.0117,0.2235,0.00345
0.44,-71.5,0.01155,0.2235,0.00333
0.442,-71.5,0.01155,0.2235,0.00336
0.444,-71.5,0.01155,0.2235,0.003435
0.446,-71.5,0.0117,0.2265,0.003525
0.448,-71.5,0.012,0.2295,0.003585
0.45,-72,0.0123,0.231,0.003435
0.452,-71.5,0.01245,0.234,0.003555
0.454,-71.5,0.01275,0.2355,0.00357
0.456,-71.5,0.01275,0.237,0.003675
