Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_B2 / V,Voltage U_A2 / V
0,0.03315,2.526,0.138,0.4785
0.1,0.0332,2.526,0.138,0.477
0.2,0.03315,2.526,0.138,0.477
0.3,0.03315,2.526,0.138,0.477
0.4,0.03315,2.526,0.138,0.477
0.499,0.0332,2.526,0.138,0.477
0.6,0.03315,2.526,0.138,0.477
0.699,0.03315,2.526,0.138,0.477
0.8,0.03315,2.526,0.138,0.477
0.9,0.0333,2.5245,0.138,0.477
1,0.03315,2.5245,0.138,0.477
1.099,0.03315,2.526,0.138,0.4755
1.199,0.03315,2.5245,0.138,0.4755
1.3,0.0332,2.5245,0.138,0.477
1.4,0.03315,2.5245,0.138,0.477
1.5,0.0332,2.5245,0.138,0.4785
1.6,0.0332,2.5245,0.138,0.4785
1.7,0.03315,2.5245,0.138,0.4785
1.799,0.03315,2.526,0.138,0.4785
1.9,0.03315,2.526,0.138,0.48
2,0.03315,2.526,0.138,0.4815
2.1,0.03325,2.526,0.138,0.483
2.2,0.03315,2.526,0.138,0.483
2.3,0.0332,2.5275,0.138,0.4845
2.4,0.03315,2.5275,0.138,0.486
2.5,0.03315,2.5275,0.138,0.486
2.599,0.03315,2.529,0.138,0.4875
2.699,0.03315,2.529,0.138,0.489
2.8,0.0332,2.5305,0.138,0.4905
2.9,0.0332,2.5305,0.138,0.4905
3,0.03315,2.532,0.138,0.492
3.1,0.0332,2.5335,0.138,0.4935
3.2,0.03315,2.5335,0.138,0.495
3.3,0.03315,2.535,0.138,0.4965
3.4,0.03315,2.535,0.138,0.498
3.501,0.03325,2.5365,0.138,0.4995
3.601,0.0332,2.538,0.138,0.501
3.7,0.0332,2.5395,0.138,0.5025
3.8,0.03315,2.5395,0.138,0.504
3.9,0.03315,2.541,0.138,0.504
4.001,0.03325,2.5425,0.138,0.507
4.1,0.03315,2.544,0.138,0.507
4.201,0.0332,2.544,0.138,0.5085
4.3,0.03315,2.5455,0.138,0.5085
4.4,0.0332,2.547,0.138,0.51
4.5,0.03315,2.5485,0.138,0.5115
4.601,0.0332,2.55,0.138,0.5145
4.7,0.03315,2.5515,0.138,0.5145
4.801,0.0332,2.5515,0.138,0.5175
4.9,0.0332,2.553,0.138,0.5175
5,0.03315,2.5545,0.138,0.5175
5.1,0.0332,2.556,0.138,0.519
5.2,0.03315,2.5575,0.138,0.5205
5.3,0.03315,2.559,0.138,0.522
5.399,0.03315,2.5605,0.138,0.5235
5.499,0.03315,2.562,0.138,0.525
5.599,0.03315,2.5635,0.138,0.5265
5.7,0.03315,2.565,0.138,0.528
5.801,0.03315,2.565,0.138,0.5295
5.9,0.0332,2.568,0.138,0.531
6,0.03315,2.568,0.138,0.531
6.101,0.03315,2.5695,0.138,0.534
6.2,0.0332,2.571,0.138,0.534
6.3,0.0332,2.5725,0.138,0.537
6.4,0.03315,2.574,0.138,0.537
6.5,0.0332,2.5755,0.138,0.537
6.6,0.0332,2.577,0.138,0.54
6.7,0.03315,2.5785,0.138,0.5415
6.8,0.0332,2.58,0.138,0.5415
6.9,0.03315,2.5815,0.138,0.5415
6.999,0.0332,2.583,0.138,0.5445
7.1,0.0332,2.5845,0.138,0.546
7.2,0.0332,2.586,0.138,0.5475
7.299,0.03315,2.586,0.138,0.5475
7.4,0.03315,2.5875,0.138,0.549
7.499,0.03315,2.589,0.1365,0.5505
7.599,0.0332,2.5905,0.1365,0.552
7.7,0.03315,2.592,0.138,0.5535
7.8,0.03315,2.5935,0.1365,0.555
7.9,0.03315,2.595,0.1365,0.5565
8.001,0.03315,2.595,0.1365,0.558
8.1,0.0332,2.598,0.1365,0.558
8.2,0.03315,2.598,0.1365,0.561
8.299,0.03315,2.5995,0.138,0.561
8.399,0.0332,2.601,0.1365,0.5625
8.5,0.03315,2.6025,0.1365,0.564
8.6,0.0332,2.604,0.1365,0.5655
8.7,0.03315,2.604,0.1365,0.5655
8.8,0.03315,2.6055,0.1365,0.5685
8.901,0.03315,2.607,0.1365,0.57
9,0.03315,2.6085,0.1365,0.57
9.099,0.03315,2.61,0.1365,0.5715
9.2,0.03315,2.61,0.1365,0.5745
9.3,0.03315,2.6115,0.1365,0.5745
9.4,0.03315,2.613,0.1365,0.576
9.5,0.03315,2.6145,0.1365,0.576
9.6,0.0332,2.616,0.1365,0.5775
9.7,0.03315,2.616,0.1365,0.579
9.801,0.03315,2.6175,0.1365,0.5805
9.9,0.0332,2.619,0.1365,0.5805
10,0.0332,2.619,0.1365,0.585
10.099,0.0332,2.6205,0.1365,0.585
10.2,0.03315,2.622,0.1365,0.585
10.3,0.03315,2.6235,0.1365,0.5865
10.4,0.03315,2.6235,0.135,0.588
10.499,0.0332,2.625,0.1365,0.588
10.599,0.03315,2.6265,0.135,0.591
10.7,0.03315,2.628,0.135,0.5925
10.799,0.0332,2.628,0.1365,0.5925
10.9,0.0332,2.6295,0.135,0.594
11,0.03315,2.631,0.135,0.597
11.1,0.03315,2.631,0.135,0.597
11.201,0.03315,2.6325,0.135,0.5985
11.3,0.03315,2.6325,0.135,0.6
11.4,0.03315,2.634,0.135,0.6015
11.5,0.03315,2.634,0.135,0.6015
11.601,0.0332,2.6355,0.135,0.6045
11.7,0.0332,2.637,0.135,0.6045
11.8,0.0332,2.637,0.135,0.606
11.901,0.03315,2.6385,0.135,0.609
12,0.03325,2.6385,0.135,0.612
12.1,0.03315,2.64,0.135,0.6105
12.2,0.03315,2.64,0.135,0.6105
12.301,0.03315,2.6415,0.135,0.6135
12.401,0.03315,2.6415,0.135,0.6135
12.5,0.03315,2.643,0.135,0.615
12.6,0.03315,2.643,0.135,0.6165
12.7,0.03315,2.6445,0.1335,0.618
12.8,0.03315,2.6445,0.1335,0.6195
12.899,0.03315,2.646,0.135,0.621
13,0.0332,2.646,0.1335,0.621
13.101,0.03315,2.646,0.1335,0.624
13.2,0.03315,2.6475,0.1335,0.624
13.3,0.03315,2.6475,0.1335,0.6255
13.4,0.03315,2.649,0.1335,0.6255
13.501,0.03315,2.649,0.1335,0.627
13.6,0.0332,2.6505,0.1335,0.6285
13.7,0.03315,2.6505,0.1335,0.63
13.8,0.03315,2.6505,0.1335,0.6315
13.9,0.03315,2.652,0.1335,0.6315
13.999,0.03315,2.652,0.1335,0.633
14.1,0.03315,2.652,0.1335,0.6345
14.201,0.03315,2.652,0.132,0.636
14.3,0.0332,2.6535,0.132,0.6375
14.4,0.03315,2.6535,0.1335,0.639
14.501,0.03315,2.6535,0.132,0.639
14.601,0.03315,2.655,0.132,0.642
14.7,0.0332,2.655,0.132,0.6435
14.8,0.0332,2.655,0.132,0.6435
14.901,0.03315,2.655,0.132,0.6435
15,0.0332,2.655,0.132,0.6465
15.1,0.03315,2.6565,0.132,0.648
15.2,0.0332,2.6565,0.132,0.648
15.3,0.03315,2.6565,0.132,0.648
15.4,0.03315,2.6565,0.132,0.6525
15.5,0.03315,2.6565,0.132,0.6525
15.6,0.0332,2.658,0.132,0.6525
15.701,0.03315,2.658,0.1305,0.6555
15.8,0.03315,2.658,0.1305,0.6555
15.9,0.03315,2.658,0.1305,0.657
16,0.03315,2.658,0.1305,0.66
16.101,0.03315,2.658,0.1305,0.66
16.2,0.03315,2.658,0.1305,0.6615
16.3,0.0332,2.658,0.1305,0.6615
16.4,0.03315,2.658,0.1305,0.663
16.501,0.03315,2.658,0.1305,0.666
16.6,0.0332,2.658,0.1305,0.666
16.7,0.03315,2.658,0.1305,0.6675
16.8,0.03315,2.658,0.1305,0.6675
16.901,0.03315,2.658,0.129,0.6705
17,0.03315,2.658,0.129,0.672
17.1,0.03315,2.658,0.129,0.672
17.201,0.0332,2.658,0.129,0.6735
17.3,0.03315,2.658,0.129,0.675
17.4,0.03315,2.658,0.129,0.675
17.5,0.0332,2.6565,0.129,0.6765
17.6,0.03315,2.6565,0.129,0.678
17.699,0.03315,2.6565,0.129,0.678
17.8,0.03315,2.6565,0.129,0.6795
17.9,0.03315,2.6565,0.129,0.681
18.006,0.0332,2.655,0.1275,0.6855
18.1,0.03315,2.655,0.1275,0.684
18.2,0.03315,2.655,0.1275,0.684
18.301,0.0332,2.655,0.1275,0.687
18.4,0.03315,2.655,0.1275,0.6885
18.5,0.0332,2.6535,0.1275,0.6885
18.6,0.0332,2.6535,0.1275,0.69
18.7,0.03315,2.6535,0.1275,0.6915
18.8,0.0332,2.652,0.1275,0.6915
