Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_A2 / V,Voltage U_B2 / V
0,0.03295,2.0895,0.2925,-0.0645
0.2,0.033,2.0895,0.2925,-0.0645
0.4,0.03295,2.0895,0.2925,-0.0645
0.601,0.033,2.0895,0.2925,-0.0645
0.799,0.03295,2.088,0.2925,-0.0645
1,0.03295,2.088,0.2925,-0.0645
1.2,0.03295,2.0895,0.2925,-0.0645
1.4,0.03305,2.0895,0.2925,-0.0645
1.6,0.03295,2.0895,0.2925,-0.0645
1.8,0.0329,2.0895,0.2925,-0.0645
2,0.0329,2.0895,0.294,-0.0645
2.2,0.0329,2.091,0.2955,-0.0645
2.4,0.0331,2.091,0.2985,-0.0645
2.599,0.0329,2.091,0.3,-0.0645
2.8,0.0329,2.0925,0.3015,-0.0645
2.999,0.0329,2.094,0.3045,-0.0645
3.2,0.0329,2.0955,0.3075,-0.0645
3.4,0.0329,2.097,0.309,-0.0645
3.6,0.03295,2.0985,0.312,-0.0645
3.799,0.03295,2.1,0.315,-0.0645
4,0.03295,2.103,0.318,-0.0645
4.2,0.033,2.1045,0.321,-0.0645
4.399,0.033,2.106,0.324,-0.0645
4.6,0.03305,2.109,0.327,-0.0645
4.8,0.03305,2.1105,0.33,-0.0645
5,0.03305,2.1135,0.333,-0.0645
5.2,0.0331,2.115,0.336,-0.0645
5.4,0.0331,2.118,0.339,-0.0645
5.6,0.0331,2.1195,0.342,-0.0645
5.799,0.03305,2.1225,0.3465,-0.0645
5.999,0.0331,2.1255,0.3495,-0.0645
6.199,0.0331,2.1285,0.3525,-0.0645
6.4,0.0331,2.13,0.357,-0.0645
6.6,0.0331,2.133,0.36,-0.0645
6.8,0.0331,2.1345,0.363,-0.0645
7,0.03305,2.1375,0.366,-0.0645
7.2,0.0331,2.1405,0.369,-0.0645
7.4,0.03305,2.1435,0.372,-0.0645
7.6,0.0331,2.145,0.3765,-0.0645
7.8,0.0331,2.148,0.3795,-0.0645
8,0.0331,2.151,0.384,-0.0645
8.199,0.0331,2.1525,0.3855,-0.063
8.4,0.0331,2.1555,0.3885,-0.063
8.599,0.0331,2.1585,0.393,-0.063
8.799,0.0331,2.16,0.396,-0.063
9.001,0.0331,2.163,0.4005,-0.063
9.2,0.0331,2.1645,0.4035,-0.063
9.4,0.03305,2.1675,0.4065,-0.063
9.6,0.0331,2.169,0.4095,-0.063
9.799,0.03305,2.172,0.4125,-0.063
10,0.0331,2.1735,0.417,-0.063
10.199,0.03305,2.1765,0.42,-0.063
10.4,0.0331,2.178,0.423,-0.063
10.6,0.0331,2.181,0.426,-0.063
10.801,0.0331,2.1825,0.429,-0.063
11,0.03305,2.1855,0.432,-0.063
11.2,0.03305,2.187,0.4365,-0.063
11.4,0.03305,2.19,0.4395,-0.063
11.6,0.03305,2.1915,0.4425,-0.0615
11.8,0.0331,2.193,0.4455,-0.063
12,0.0331,2.1945,0.4485,-0.0615
12.2,0.0331,2.1975,0.453,-0.0615
12.4,0.0331,2.199,0.456,-0.0615
12.6,0.0331,2.2005,0.459,-0.0615
12.801,0.0331,2.202,0.462,-0.0615
13,0.0331,2.2035,0.4665,-0.0615
13.2,0.0331,2.205,0.468,-0.0615
13.4,0.0331,2.208,0.471,-0.0615
13.601,0.0332,2.208,0.477,-0.0615
13.8,0.03305,2.2095,0.477,-0.0615
14.001,0.0332,2.211,0.483,-0.0615
14.202,0.0332,2.2125,0.486,-0.06
14.4,0.0331,2.214,0.4875,-0.06
14.599,0.0331,2.2155,0.4905,-0.06
14.8,0.0331,2.2155,0.495,-0.06
14.999,0.0331,2.217,0.4965,-0.06
15.2,0.0331,2.2185,0.501,-0.06
15.399,0.0331,2.2185,0.504,-0.06
15.6,0.0331,2.22,0.507,-0.06
15.8,0.03305,2.2215,0.51,-0.06
15.999,0.0331,2.2215,0.513,-0.06
16.2,0.0331,2.2215,0.516,-0.06
16.4,0.0331,2.223,0.519,-0.06
16.6,0.03305,2.223,0.5235,-0.0585
16.8,0.03315,2.2245,0.5265,-0.0585
17,0.03305,2.2245,0.5295,-0.0585
17.199,0.03305,2.2245,0.5325,-0.0585
17.399,0.03305,2.2245,0.5355,-0.0585
17.599,0.03305,2.2245,0.5385,-0.0585
17.799,0.0331,2.2245,0.5415,-0.0585
17.999,0.03305,2.2245,0.5445,-0.0585
18.199,0.03305,2.2245,0.549,-0.0585
18.4,0.0332,2.2245,0.552,-0.0585
18.6,0.03305,2.2245,0.5535,-0.057
18.8,0.0331,2.2245,0.558,-0.057
