Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_A2 / V,Voltage U_B2 / V
0,0.015,1.0095,0.5625,-0.0255
0.2,0.01505,1.0095,0.5625,-0.0255
0.4,0.01505,1.0095,0.5625,-0.0255
0.6,0.01505,1.0095,0.5625,-0.0255
0.8,0.01505,1.0095,0.561,-0.0255
1,0.015,1.0095,0.5625,-0.0255
1.2,0.01505,1.0095,0.5625,-0.0255
1.4,0.01505,1.0095,0.5625,-0.0255
1.6,0.01505,1.011,0.5625,-0.0255
1.8,0.015,1.0095,0.564,-0.0255
1.999,0.01505,1.0095,0.5655,-0.0255
2.2,0.015,1.0095,0.567,-0.0255
2.4,0.01505,1.0095,0.57,-0.0255
2.6,0.015,1.0095,0.5715,-0.0255
2.799,0.01505,1.0095,0.5745,-0.0255
3,0.015,1.0095,0.576,-0.0255
3.2,0.015,1.008,0.579,-0.0255
3.4,0.015,1.008,0.582,-0.0255
3.6,0.015,1.008,0.5835,-0.0255
3.8,0.015,1.008,0.5865,-0.0255
4,0.01505,1.008,0.5895,-0.0255
4.199,0.01505,1.0065,0.5925,-0.0255
4.399,0.015,1.0065,0.594,-0.0255
4.6,0.01505,1.005,0.597,-0.0255
4.8,0.01505,1.005,0.6015,-0.0255
5,0.015,1.005,0.606,-0.0255
5.2,0.01505,1.0035,0.6075,-0.0255
5.4,0.01505,1.002,0.609,-0.024
5.6,0.015,1.002,0.612,-0.024
5.8,0.01505,1.0005,0.615,-0.024
5.999,0.015,1.0005,0.618,-0.024
6.2,0.015,0.999,0.621,-0.024
6.399,0.015,0.9975,0.624,-0.024
6.6,0.01505,0.9975,0.627,-0.024
6.8,0.01505,0.996,0.63,-0.024
7,0.01505,0.9945,0.633,-0.024
7.199,0.015,0.993,0.636,-0.024
7.4,0.01505,0.9915,0.639,-0.024
7.6,0.015,0.99,0.642,-0.0225
7.8,0.015,0.9885,0.645,-0.024
8,0.01505,0.9885,0.648,-0.0225
8.2,0.015,0.9855,0.651,-0.0225
8.4,0.015,0.984,0.654,-0.0225
8.6,0.015,0.9825,0.657,-0.0225
8.8,0.015,0.981,0.66,-0.0225
8.999,0.01495,0.9795,0.663,-0.0225
9.2,0.01495,0.978,0.666,-0.0225
9.4,0.01505,0.9765,0.6705,-0.0225
9.6,0.01495,0.9735,0.672,-0.0225
9.8,0.0149,0.972,0.675,-0.0225
10,0.0149,0.9705,0.678,-0.0225
10.2,0.0149,0.9675,0.681,-0.021
10.4,0.0149,0.966,0.684,-0.021
10.6,0.01505,0.9645,0.687,-0.021
10.8,0.01485,0.9615,0.69,-0.021
11.001,0.01505,0.96,0.693,-0.021
11.2,0.01485,0.957,0.696,-0.021
11.4,0.01485,0.9555,0.699,-0.021
11.599,0.0149,0.9525,0.702,-0.021
11.8,0.0149,0.951,0.705,-0.021
12,0.01485,0.948,0.708,-0.021
12.2,0.015,0.9465,0.711,-0.021
12.4,0.0149,0.9435,0.714,-0.021
12.599,0.0149,0.9405,0.7155,-0.021
12.8,0.0149,0.9375,0.7185,-0.021
13,0.01505,0.9345,0.7215,-0.021
13.2,0.0149,0.933,0.7245,-0.0195
13.399,0.0149,0.93,0.7275,-0.0195
13.6,0.0149,0.927,0.7305,-0.0195
13.8,0.01485,0.924,0.7335,-0.0195
13.999,0.0149,0.921,0.7365,-0.0195
14.2,0.0149,0.918,0.7395,-0.0195
14.4,0.0149,0.915,0.7425,-0.0195
14.6,0.015,0.912,0.7485,-0.0195
14.799,0.0149,0.909,0.7485,-0.0195
15,0.0149,0.906,0.7515,-0.018
15.2,0.0149,0.903,0.7545,-0.018
15.4,0.0149,0.9,0.7575,-0.018
15.6,0.0149,0.897,0.7605,-0.018
15.8,0.0149,0.894,0.762,-0.018
16,0.0149,0.891,0.765,-0.018
16.199,0.01495,0.8865,0.768,-0.018
16.4,0.01495,0.8835,0.771,-0.018
16.599,0.0149,0.8805,0.774,-0.018
16.8,0.01495,0.8775,0.777,-0.0165
16.999,0.0149,0.873,0.78,-0.0165
17.199,0.0149,0.87,0.783,-0.0165
17.4,0.0149,0.867,0.786,-0.0165
17.6,0.01495,0.864,0.7875,-0.0165
17.8,0.0149,0.8595,0.7905,-0.0165
18,0.0149,0.8565,0.795,-0.0165
18.2,0.01495,0.8535,0.7965,-0.0165
18.4,0.01495,0.849,0.7995,-0.0165
