Time t / s,Current I_A1 / A,Voltage U_B1 / V,Voltage U_A2 / V,Voltage U_B2 / V
0,0.03315,2.661,0.606,0.1305
0.201,0.0331,2.661,0.6075,0.1305
0.401,0.033,2.661,0.606,0.1305
0.6,0.0331,2.661,0.606,0.1305
0.8,0.0331,2.661,0.606,0.1305
1.001,0.0331,2.661,0.606,0.1305
1.201,0.03315,2.661,0.606,0.1305
1.401,0.03305,2.661,0.606,0.1305
1.601,0.03315,2.6595,0.6045,0.1305
1.801,0.0331,2.6595,0.6045,0.1305
2.001,0.03315,2.6595,0.6045,0.1305
2.201,0.03315,2.6595,0.6045,0.1305
2.401,0.0332,2.655,0.6045,0.1065
2.6,0.03315,2.655,0.6045,0.1065
2.801,0.0331,2.655,0.606,0.1065
3.001,0.03315,2.655,0.6075,0.1065
3.201,0.0331,2.655,0.609,0.1065
3.401,0.0332,2.655,0.6105,0.105
3.601,0.03315,2.655,0.6135,0.1065
3.801,0.03325,2.6565,0.615,0.1065
4.001,0.0332,2.6565,0.6165,0.108
4.201,0.0332,2.658,0.6195,0.1095
4.4,0.0332,2.658,0.6225,0.1095
4.601,0.03325,2.6595,0.624,0.111
4.801,0.0332,2.6595,0.627,0.111
5.001,0.03325,2.661,0.6285,0.1125
5.201,0.03315,2.661,0.63,0.1155
5.4,0.0331,2.6625,0.633,0.117
5.601,0.0332,2.6625,0.636,0.1185
5.801,0.0332,2.6685,0.639,0.1425
6.001,0.0331,2.6685,0.6405,0.1425
6.2,0.0331,2.6685,0.6435,0.1425
6.4,0.0331,2.67,0.645,0.1425
6.601,0.0331,2.67,0.6465,0.1425
6.8,0.0331,2.67,0.6495,0.1425
7.001,0.0331,2.67,0.6525,0.1425
7.201,0.03315,2.67,0.654,0.141
7.401,0.0331,2.67,0.657,0.141
7.6,0.0331,2.67,0.6585,0.141
7.8,0.0331,2.67,0.6615,0.141
8.001,0.0331,2.67,0.663,0.141
8.201,0.0331,2.67,0.666,0.1395
8.401,0.0331,2.67,0.6675,0.1395
8.601,0.0331,2.6685,0.6705,0.1395
8.801,0.0331,2.6685,0.6735,0.1395
9,0.03305,2.6685,0.6735,0.1395
9.201,0.0331,2.667,0.6765,0.138
9.401,0.0331,2.667,0.678,0.138
9.6,0.0331,2.6655,0.681,0.138
9.801,0.0331,2.6655,0.6825,0.138
10,0.03305,2.664,0.687,0.1365
10.201,0.0331,2.6625,0.6885,0.1365
10.4,0.03295,2.6625,0.69,0.1365
10.6,0.03295,2.661,0.693,0.1365
10.801,0.03295,2.6595,0.6945,0.135
11,0.03295,2.658,0.6975,0.135
11.2,0.033,2.6565,0.699,0.135
11.4,0.033,2.655,0.702,0.135
11.601,0.03305,2.6535,0.705,0.135
11.801,0.0331,2.652,0.7065,0.1335
12.001,0.0331,2.649,0.7095,0.1335
12.201,0.0331,2.6475,0.7125,0.132
12.401,0.0331,2.6445,0.714,0.132
12.601,0.03315,2.643,0.717,0.132
12.802,0.0331,2.6415,0.7185,0.132
13.001,0.03315,2.6385,0.7215,0.132
13.2,0.03315,2.637,0.723,0.1305
13.4,0.0332,2.634,0.726,0.1305
13.6,0.0332,2.631,0.729,0.1305
13.801,0.03315,2.628,0.7305,0.129
14.001,0.03315,2.625,0.7335,0.129
14.2,0.0332,2.622,0.735,0.129
14.4,0.0332,2.619,0.738,0.129
14.6,0.0332,2.616,0.7395,0.1275
14.8,0.0332,2.613,0.7425,0.1275
15.001,0.03325,2.6085,0.7455,0.126
15.201,0.0332,2.6055,0.747,0.126
15.4,0.03315,2.6025,0.75,0.126
15.601,0.03325,2.598,0.7515,0.1245
15.801,0.0332,2.595,0.7545,0.1245
16.001,0.0332,2.5905,0.7575,0.1245
16.201,0.0331,2.586,0.7605,0.123
16.401,0.0331,2.583,0.7635,0.123
16.6,0.0331,2.5785,0.7665,0.1215
16.8,0.0331,2.574,0.768,0.1215
17,0.0331,2.5695,0.771,0.1215
17.201,0.0331,2.565,0.7725,0.12
17.401,0.0331,2.5605,0.774,0.12
17.601,0.0331,2.5545,0.777,0.12
17.801,0.0331,2.55,0.78,0.1185
18.001,0.0331,2.5455,0.783,0.1185
18.201,0.0331,2.541,0.7845,0.117
18.401,0.03315,2.5365,0.786,0.117
18.6,0.0331,2.5305,0.7905,0.117
18.801,0.0331,2.5245,0.792,0.1155
19,0.0331,2.52,0.795,0.1155
19.201,0.0331,2.514,0.798,0.114
19.4,0.0331,2.508,0.801,0.114
19.6,0.03305,2.502,0.8025,0.1125
19.801,0.033,2.496,0.8055,0.1125
20.001,0.03295,2.4915,0.807,0.1125
20.2,0.03295,2.4855,0.81,0.111
20.4,0.03295,2.4795,0.813,0.111
20.601,0.033,2.472,0.8145,0.1095
20.802,0.03295,2.466,0.816,0.1095
21,0.03305,2.46,0.819,0.108
21.2,0.0331,2.454,0.822,0.108
21.401,0.03295,2.4465,0.8205,0.108
21.6,0.03315,2.4405,0.8265,0.1065
21.8,0.03315,2.433,0.828,0.1065
22,0.03315,2.427,0.831,0.105
22.201,0.0331,2.4195,0.834,0.105
22.401,0.0331,2.412,0.8355,0.105
22.601,0.03315,2.406,0.8385,0.1035
22.8,0.0332,2.3985,0.84,0.1035
23.001,0.0332,2.3925,0.8415,0.102
23.201,0.03325,2.385,0.8445,0.102
23.401,0.0332,2.376,0.8475,0.1005
23.6,0.03325,2.37,0.849,0.1005
23.8,0.03325,2.3625,0.852,0.099
24.001,0.03325,2.3535,0.8535,0.099
24.201,0.0332,2.3475,0.8565,0.099
24.401,0.0332,2.3385,0.858,0.0975
24.603,0.0332,2.331,0.861,0.0975
24.801,0.0331,2.3235,0.8625,0.096
25.001,0.0331,2.3145,0.864,0.096
25.2,0.03315,2.307,0.8655,0.0945
25.4,0.03315,2.2995,0.8685,0.0945
25.6,0.0331,2.292,0.87,0.0945
25.801,0.0331,2.283,0.873,0.093
26,0.03315,2.274,0.8745,0.093
26.2,0.03315,2.2665,0.876,0.093
26.401,0.03315,2.2575,0.879,0.0915
26.601,0.0331,2.25,0.882,0.0915
26.801,0.03315,2.241,0.8835,0.09
27.001,0.0331,2.232,0.8865,0.09
27.2,0.03315,2.223,0.888,0.0885
27.401,0.0331,2.214,0.891,0.0885
27.6,0.0331,2.2065,0.8925,0.0885
27.801,0.0331,2.1975,0.8955,0.087
28,0.03315,2.1885,0.897,0.0855
28.2,0.0331,2.1795,0.8985,0.0855
28.4,0.03315,2.1705,0.9015,0.0855
28.6,0.0331,2.1615,0.903,0.084
28.801,0.0331,2.1525,0.9045,0.084
29.001,0.03305,2.1435,0.9075,0.084
29.201,0.0331,2.1345,0.912,0.0825
29.401,0.033,2.124,0.912,0.0825
29.601,0.0331,2.115,0.915,0.081
29.801,0.033,2.106,0.9165,0.081
30,0.033,2.097,0.918,0.0795
30.201,0.03305,2.088,0.921,0.0795
30.4,0.03305,2.0775,0.9225,0.0795
30.601,0.03305,2.0685,0.924,0.078
30.8,0.03305,2.0595,0.927,0.078
31.001,0.033,2.0505,0.93,0.078
31.201,0.033,2.04,0.9315,0.0765
31.4,0.0331,2.031,0.933,0.0765
31.601,0.03315,2.022,0.936,0.075
31.801,0.03315,2.0115,0.939,0.075
32.001,0.03315,2.0025,0.9405,0.075
32.201,0.0331,1.992,0.942,0.0735
32.4,0.03315,1.983,0.945,0.0735
32.6,0.0332,1.974,0.948,0.072
32.801,0.0331,1.9635,0.9495,0.072
33.001,0.03315,1.9545,0.9525,0.072
33.201,0.03315,1.944,0.954,0.0705
33.401,0.0332,1.935,0.957,0.0705
33.6,0.0332,1.9245,0.9585,0.069
33.801,0.0332,1.9155,0.9615,0.069
34.001,0.03315,1.9065,0.963,0.069
34.201,0.03325,1.896,0.966,0.0675
34.402,0.03315,1.887,0.9675,0.0675
34.601,0.03325,1.8765,0.9705,0.0675
34.801,0.0332,1.8675,0.972,0.066
35.001,0.0332,1.8585,0.975,0.066
35.2,0.0332,1.848,0.9765,0.066
35.401,0.03325,1.839,0.9795,0.0645
35.601,0.03315,1.8285,0.9825,0.0645
35.801,0.03325,1.8195,0.984,0.063
36,0.0331,1.809,0.987,0.063
36.201,0.0331,1.8,0.9885,0.063
36.401,0.0331,1.791,0.99,0.0615
36.6,0.03315,1.7805,0.9945,0.0615
36.801,0.0332,1.7715,0.9945,0.0615
37,0.0331,1.7625,0.999,0.06
37.2,0.03315,1.752,1.0005,0.06
37.401,0.0331,1.743,1.002,0.06
37.601,0.0331,1.734,1.005,0.0585
37.8,0.03315,1.7235,1.008,0.0585
38,0.03315,1.7145,1.0095,0.0585
38.201,0.03315,1.7055,1.011,0.057
38.401,0.03315,1.695,1.014,0.057
38.6,0.03315,1.686,1.017,0.057
38.8,0.0331,1.677,1.0185,0.0555
39.001,0.03315,1.668,1.0215,0.0555
39.201,0.0331,1.659,1.023,0.0555
39.401,0.0331,1.65,1.026,0.054
39.601,0.0331,1.6395,1.0275,0.054
39.801,0.03315,1.632,1.0305,0.054
40.001,0.03315,1.6215,1.0335,0.054
40.201,0.03315,1.6125,1.035,0.0525
40.401,0.03315,1.6035,1.038,0.0525
40.601,0.03305,1.5945,1.0395,0.0525
40.801,0.0331,1.5855,1.041,0.051
41,0.03295,1.5765,1.044,0.051
41.201,0.0331,1.5675,1.0455,0.051
41.4,0.03295,1.5585,1.0485,0.051
41.6,0.03295,1.5495,1.0515,0.0495
41.8,0.033,1.5405,1.053,0.0495
42.001,0.03305,1.533,1.056,0.0495
42.2,0.03305,1.524,1.0575,0.048
42.401,0.03305,1.515,1.059,0.048
42.6,0.0331,1.506,1.062,0.048
42.8,0.0331,1.497,1.0635,0.048
43,0.03315,1.4895,1.0665,0.048
43.2,0.03315,1.4805,1.068,0.0465
43.4,0.03315,1.4715,1.0695,0.0465
43.601,0.03315,1.464,1.0725,0.0465
43.801,0.03315,1.455,1.074,0.0465
44,0.03315,1.446,1.0755,0.045
44.201,0.0332,1.4385,1.0785,0.045
44.401,0.0332,1.4295,1.08,0.045
44.601,0.03315,1.422,1.083,0.045
44.8,0.0332,1.413,1.0845,0.045
45,0.0332,1.4055,1.086,0.0435
45.201,0.0332,1.398,1.0875,0.0435
45.401,0.0332,1.389,1.0905,0.0435
45.6,0.03325,1.3815,1.092,0.042
45.801,0.03315,1.374,1.095,0.042
46,0.03325,1.3665,1.0965,0.042
46.201,0.0333,1.3575,1.0995,0.042
46.401,0.0333,1.35,1.101,0.042
46.601,0.03325,1.3425,1.1025,0.0405
46.801,0.03325,1.335,1.1055,0.0405
47.001,0.03325,1.3275,1.107,0.0405
47.2,0.0332,1.32,1.1085,0.0405
47.401,0.03325,1.3125,1.1115,0.0405
47.6,0.03315,1.305,1.1115,0.039
47.802,0.03325,1.2975,1.1145,0.039
48,0.03315,1.29,1.116,0.039
48.2,0.03315,1.2825,1.1175,0.039
48.4,0.03315,1.275,1.119,0.039
48.6,0.03315,1.2675,1.122,0.0375
48.8,0.03315,1.2615,1.1235,0.0375
49.001,0.03315,1.254,1.125,0.0375
49.2,0.03315,1.2465,1.128,0.0375
49.401,0.03315,1.239,1.1295,0.0375
49.6,0.03315,1.233,1.131,0.036
49.801,0.03315,1.2255,1.134,0.036
50,0.03315,1.2195,1.1355,0.036
50.2,0.03315,1.212,1.137,0.036
50.4,0.03315,1.2045,1.1385,0.036
50.6,0.03315,1.1985,1.1415,0.036
50.801,0.0332,1.1925,1.143,0.036
51,0.03315,1.185,1.1445,0.0345
51.201,0.03315,1.179,1.146,0.0345
51.4,0.03315,1.1715,1.149,0.0345
51.6,0.0332,1.1655,1.1505,0.0345
51.801,0.03315,1.158,1.1535,0.0345
52.001,0.03315,1.152,1.1565,0.0345
52.2,0.03315,1.146,1.155,0.0345
52.401,0.03315,1.14,1.158,0.033
52.6,0.03315,1.1325,1.1595,0.033
52.801,0.03315,1.1265,1.161,0.033
53.001,0.03315,1.1205,1.1625,0.033
53.201,0.03315,1.1145,1.1655,0.033
53.4,0.03305,1.1085,1.167,0.033
53.601,0.03315,1.1025,1.17,0.033
53.801,0.03315,1.0965,1.1715,0.0315
54.001,0.033,1.089,1.173,0.0315
54.201,0.03295,1.083,1.1745,0.0315
54.401,0.0331,1.077,1.1775,0.0315
54.6,0.033,1.071,1.1775,0.0315
54.801,0.033,1.065,1.1805,0.0315
55,0.03305,1.059,1.182,0.03
55.2,0.03305,1.0545,1.1835,0.03
55.4,0.03305,1.0485,1.185,0.03
55.601,0.03305,1.0425,1.188,0.03
55.8,0.03305,1.0365,1.1895,0.03
56.001,0.03305,1.0305,1.191,0.03
56.201,0.03315,1.0245,1.194,0.03
56.401,0.03305,1.0185,1.1955,0.03
56.6,0.03315,1.0125,1.1985,0.03
56.8,0.03315,1.008,1.2,0.0285
57,0.03315,1.002,1.2015,0.0285
57.2,0.03315,0.996,1.2045,0.0285
57.401,0.03315,0.99,1.206,0.0285
57.601,0.0331,0.9855,1.2075,0.0285
57.801,0.0332,0.9795,1.2105,0.0285
58,0.03315,0.9735,1.212,0.0285
58.201,0.0332,0.969,1.2135,0.0285
58.4,0.0332,0.963,1.2165,0.027
58.599,0.03325,0.9585,1.218,0.027
58.801,0.0332,0.9525,1.2195,0.027
59.001,0.03315,0.948,1.2225,0.027
59.202,0.03305,0.942,1.224,0.027
59.401,0.03315,0.9375,1.2255,0.027
59.601,0.03325,0.9315,1.2285,0.027
59.801,0.03315,0.927,1.23,0.027
60,0.03325,0.921,1.2315,0.027
60.2,0.03325,0.9165,1.2345,0.0255
60.401,0.03325,0.912,1.236,0.0255
60.601,0.03325,0.906,1.2375,0.0255
60.8,0.03325,0.9015,1.239,0.0255
61.002,0.0332,0.897,1.242,0.0255
61.2,0.03325,0.891,1.2435,0.0255
61.401,0.03325,0.8865,1.2465,0.0255
61.6,0.03325,0.882,1.248,0.0255
61.8,0.03325,0.876,1.2495,0.0255
62,0.03325,0.8715,1.251,0.0255
62.2,0.0332,0.867,1.254,0.024
62.401,0.0333,0.8625,1.2555,0.024
62.601,0.0332,0.858,1.257,0.024
62.801,0.03315,0.8535,1.26,0.024
63.001,0.03325,0.849,1.2615,0.024
63.201,0.0332,0.843,1.2645,0.024
63.4,0.03315,0.8385,1.266,0.024
63.6,0.03315,0.8355,1.269,0.024
63.8,0.03315,0.8295,1.2705,0.024
64.001,0.0332,0.825,1.2705,0.0225
64.201,0.03315,0.8205,1.275,0.0225
64.401,0.03315,0.8175,1.275,0.0225
64.6,0.03315,0.813,1.2765,0.0225
64.801,0.03315,0.8085,1.2795,0.0225
65,0.03315,0.804,1.281,0.0225
65.201,0.03315,0.7995,1.284,0.0225
65.401,0.03315,0.795,1.287,0.0225
65.601,0.03315,0.7905,1.287,0.0225
65.8,0.03315,0.786,1.29,0.0225
66.001,0.03315,0.783,1.2915,0.0225
66.2,0.03315,0.7785,1.293,0.021
66.401,0.03315,0.774,1.296,0.0225
66.601,0.03315,0.7695,1.2975,0.021
66.801,0.03315,0.7665,1.2975,0.021
67.001,0.03315,0.762,1.302,0.021
67.201,0.03315,0.7575,1.3035,0.021
67.401,0.03315,0.7545,1.305,0.021
67.601,0.03315,0.75,1.308,0.021
67.801,0.03315,0.747,1.3095,0.021
68,0.03315,0.7425,1.311,0.021
68.201,0.03315,0.7395,1.314,0.021
68.401,0.03315,0.735,1.3155,0.0195
68.6,0.03315,0.7305,1.317,0.021
68.8,0.03315,0.7275,1.32,0.0195
69,0.03315,0.723,1.3215,0.0195
69.2,0.0331,0.72,1.323,0.0195
69.401,0.033,0.717,1.3245,0.0195
69.601,0.03315,0.7125,1.326,0.0195
69.801,0.033,0.7095,1.329,0.0195
70,0.033,0.705,1.3305,0.0195
70.201,0.033,0.702,1.3335,0.0195
70.401,0.03305,0.699,1.335,0.0195
70.601,0.03305,0.6945,1.3365,0.0195
70.8,0.03305,0.6915,1.3395,0.0195
71,0.03305,0.6885,1.341,0.0195
71.2,0.03305,0.684,1.3425,0.0195
71.401,0.0331,0.681,1.344,0.018
71.6,0.0331,0.678,1.3455,0.018
71.8,0.0331,0.6735,1.347,0.018
72,0.03315,0.672,1.35,0.018
72.2,0.03315,0.6675,1.3515,0.018
72.4,0.03315,0.6645,1.353,0.018
72.6,0.03315,0.6615,1.3545,0.018
72.8,0.03315,0.6585,1.356,0.018
73.002,0.033,0.654,1.3575,0.018
73.201,0.0332,0.651,1.3605,0.018
73.4,0.0332,0.648,1.362,0.018
73.6,0.0332,0.645,1.3635,0.018
73.801,0.03315,0.642,1.365,0.018
74,0.03325,0.639,1.3665,0.018
74.201,0.03325,0.636,1.3695,0.018
74.4,0.03325,0.633,1.371,0.0165
74.601,0.03325,0.63,1.3725,0.0165
74.8,0.03325,0.627,1.374,0.0165
75.001,0.03325,0.624,1.3755,0.0165
75.2,0.0333,0.621,1.377,0.0165
75.401,0.03325,0.618,1.38,0.0165
75.6,0.0333,0.615,1.3815,0.0165
75.8,0.0333,0.612,1.383,0.0165
76.001,0.03325,0.609,1.3845,0.0165
76.201,0.03325,0.606,1.386,0.0165
76.401,0.03325,0.603,1.389,0.0165
76.6,0.03325,0.6,1.3905,0.0165
